Time T dT flags
1.0264345724E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0264389195E+11 2.5596900E+02 2.8000000E-01 0.0000000E+00
1.0264432666E+11 2.5593100E+02 2.7900000E-01 0.0000000E+00
1.0264476137E+11 2.5590200E+02 2.8000000E-01 0.0000000E+00
1.0264519608E+11 2.5590200E+02 2.8000000E-01 0.0000000E+00
1.0264563080E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0264606550E+11 2.5590200E+02 2.8000000E-01 0.0000000E+00
1.0264650022E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0264693493E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0264736964E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0264780435E+11 2.5593100E+02 2.7900000E-01 0.0000000E+00
1.0264823906E+11 2.5596900E+02 2.8000000E-01 0.0000000E+00
1.0264867377E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0264910848E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0264954320E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0264997791E+11 2.5596100E+02 2.7900000E-01 0.0000000E+00
1.0265041262E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0265084733E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0265128204E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0265171675E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0265215146E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0265258617E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0265302089E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0265345560E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0265389031E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0265432502E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0265475973E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0265519444E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0265562915E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0265606386E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0265649858E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0265693329E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0265736800E+11 2.5596900E+02 2.8000000E-01 0.0000000E+00
1.0265780271E+11 2.5589400E+02 2.8000000E-01 0.0000000E+00
1.0265823742E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0265867213E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0265910684E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0265954155E+11 2.5593100E+02 2.7900000E-01 0.0000000E+00
1.0265997626E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0266041098E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0266084569E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0266128040E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0266171511E+11 2.5592300E+02 2.8000000E-01 0.0000000E+00
1.0266214982E+11 2.5596100E+02 2.7900000E-01 0.0000000E+00
1.0266258453E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0266301924E+11 2.5596100E+02 2.7900000E-01 0.0000000E+00
1.0266345396E+11 2.5599100E+02 2.8000000E-01 0.0000000E+00
1.0266388867E+11 2.5589400E+02 2.8000000E-01 0.0000000E+00
1.0266432338E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0266475809E+11 2.5593100E+02 2.8000000E-01 0.0000000E+00
1.0266519280E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0266562751E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0266606222E+11 2.5599100E+02 2.8000000E-01 0.0000000E+00
1.0266649694E+11 2.5592300E+02 2.8000000E-01 0.0000000E+00
1.0266693165E+11 2.5589400E+02 2.7900000E-01 0.0000000E+00
1.0266736637E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0266780108E+11 2.5592300E+02 2.7900000E-01 0.0000000E+00
1.0266823579E+11 2.5599100E+02 2.8000000E-01 0.0000000E+00
1.0266867050E+11 2.5596100E+02 2.8000000E-01 0.0000000E+00
1.0266910521E+11 2.5599100E+02 2.8000000E-01 0.0000000E+00
1.0266953992E+11 2.5595300E+02 2.8000000E-01 0.0000000E+00
1.0266997463E+11 2.5592300E+02 2.8000000E-01 0.0000000E+00
1.0267040934E+11 2.5599100E+02 2.8000000E-01 0.0000000E+00
1.0267084406E+11 2.5595300E+02 2.8000000E-01 0.0000000E+00
1.0267127876E+11 2.5599100E+02 2.8000000E-01 0.0000000E+00
1.0267171347E+11 2.5595300E+02 2.8000000E-01 0.0000000E+00
1.0267214818E+11 2.5599900E+02 2.8000000E-01 0.0000000E+00
1.0267258289E+11 2.5595300E+02 2.8000000E-01 0.0000000E+00
1.0267301760E+11 2.5599100E+02 2.8000000E-01 0.0000000E+00
1.0267345231E+11 2.5595300E+02 2.8000000E-01 0.0000000E+00
