Time            T               dT              flags          
1.6781241E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6781285E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6781328E+11  2.5662500E+02  1.8200000E-01  0.0000000E+00 
1.6781372E+11  2.5656500E+02  1.8200000E-01  0.0000000E+00 
1.6781415E+11  2.5666300E+02  1.8200000E-01  0.0000000E+00 
1.6781459E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6781502E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6781546E+11  2.5667950E+02  1.8100000E-01  0.0000000E+00 
1.6781589E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6781633E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6781676E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6781720E+11  2.5663300E+02  1.8200000E-01  0.0000000E+00 
1.6781763E+11  2.5666300E+02  1.8200000E-01  0.0000000E+00 
1.6781807E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6781850E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6781850E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6781894E+11  2.5661950E+02  1.8100000E-01  0.0000000E+00 
1.6781937E+11  2.5658150E+02  1.8100000E-01  0.0000000E+00 
1.6781980E+11  2.5661950E+02  1.8100000E-01  0.0000000E+00 
1.6782024E+11  2.5661950E+02  1.8100000E-01  0.0000000E+00 
1.6782067E+11  2.5664950E+02  1.8100000E-01  0.0000000E+00 
1.6782111E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6782154E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6782198E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6782241E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6782285E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6782328E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6782372E+11  2.5660350E+02  1.8100000E-01  0.0000000E+00 
1.6782415E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6782459E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6782502E+11  2.5660350E+02  1.8100000E-01  0.0000000E+00 
1.6782546E+11  2.5660350E+02  1.8100000E-01  0.0000000E+00 
1.6782589E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6782633E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6782676E+11  2.5661150E+02  1.8100000E-01  0.0000000E+00 
1.6782719E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6782763E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6782806E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6782850E+11  2.5661150E+02  1.8100000E-01  0.0000000E+00 
1.6782893E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6782937E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6782980E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6783024E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6783067E+11  2.5667950E+02  1.8100000E-01  0.0000000E+00 
1.6783111E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6783154E+11  2.5661150E+02  1.8100000E-01  0.0000000E+00 
1.6783198E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6783241E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6783285E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6783328E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6783372E+11  2.5661150E+02  1.8100000E-01  0.0000000E+00 
1.6783415E+11  2.5661150E+02  1.8100000E-01  0.0000000E+00 
1.6783459E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6783502E+11  2.5661150E+02  1.8100000E-01  0.0000000E+00 
1.6783545E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6783589E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6783632E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6783676E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6783719E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6783763E+11  2.5660350E+02  1.8100000E-01  0.0000000E+00 
1.6783806E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6783893E+11  2.5661150E+02  1.8100000E-01  0.0000000E+00 
1.6783937E+11  2.5660350E+02  1.8100000E-01  0.0000000E+00 
1.6783980E+11  2.5660350E+02  1.8100000E-01  0.0000000E+00 
1.6784024E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6784067E+11  2.5662500E+02  1.8200000E-01  0.0000000E+00 
1.6784111E+11  2.5663300E+02  1.8200000E-01  0.0000000E+00 
1.6784154E+11  2.5664150E+02  1.8100000E-01  0.0000000E+00 
1.6784198E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6784241E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6784284E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6784328E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6784371E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6784415E+11  2.5659500E+02  1.8200000E-01  0.0000000E+00 
1.6784458E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6784502E+11  2.5663300E+02  1.8200000E-01  0.0000000E+00 
1.6784545E+11  2.5666300E+02  1.8200000E-01  0.0000000E+00 
1.6784589E+11  2.5666300E+02  1.8200000E-01  0.0000000E+00 
1.6784632E+11  2.5666300E+02  1.8200000E-01  0.0000000E+00 
1.6784676E+11  2.5666300E+02  1.8200000E-01  0.0000000E+00 
1.6784719E+11  2.5666350E+02  1.8100000E-01  0.0000000E+00 
1.6784763E+11  2.5658700E+02  1.8200000E-01  0.0000000E+00 
1.6784806E+11  2.5666350E+02  1.8100000E-01  0.0000000E+00 
1.6784850E+11  2.5666300E+02  1.8200000E-01  0.0000000E+00 
1.6784893E+11  2.5662500E+02  1.8200000E-01  0.0000000E+00 
1.6784937E+11  2.5662500E+02  1.8200000E-01  0.0000000E+00 
1.6784980E+11  2.5662500E+02  1.8200000E-01  0.0000000E+00 
1.6785023E+11  2.5662500E+02  1.8200000E-01  0.0000000E+00 
1.6785067E+11  2.5662500E+02  1.8200000E-01  0.0000000E+00 
1.6785110E+11  2.5662500E+02  1.8200000E-01  0.0000000E+00 
1.6785154E+11  2.5662500E+02  1.8200000E-01  0.0000000E+00 
1.6785197E+11  2.5660300E+02  1.8200000E-01  0.0000000E+00 
1.6785241E+11  2.5666300E+02  1.8200000E-01  0.0000000E+00 
