Time T dT flags
1.3150114E+11 2.5651150E+02 -1.9700000E-01 0.0000000E+00
1.3150157E+11 2.5645200E+02 -1.9800000E-01 0.0000000E+00
1.3150201E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3150244E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3150288E+11 2.5648150E+02 -1.9700000E-01 0.0000000E+00
1.3150331E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3150375E+11 2.5645200E+02 -1.9800000E-01 0.0000000E+00
1.3150375E+11 2.5645200E+02 -1.9800000E-01 0.0000000E+00
1.3150418E+11 2.5648150E+02 -1.9700000E-01 0.0000000E+00
1.3150462E+11 2.5648150E+02 -1.9700000E-01 0.0000000E+00
1.3150505E+11 2.5648950E+02 -1.9700000E-01 0.0000000E+00
1.3150549E+11 2.5648150E+02 -1.9700000E-01 0.0000000E+00
1.3150592E+11 2.5648950E+02 -1.9700000E-01 0.0000000E+00
1.3150636E+11 2.5649750E+02 -1.9700000E-01 0.0000000E+00
1.3150679E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3150722E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3150766E+11 2.5648150E+02 -1.9700000E-01 0.0000000E+00
1.3150809E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3150853E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3150896E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3150940E+11 2.5648950E+02 -1.9700000E-01 0.0000000E+00
1.3150983E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3151027E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3151070E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3151114E+11 2.5648150E+02 -1.9700000E-01 0.0000000E+00
1.3151157E+11 2.5648150E+02 -1.9700000E-01 0.0000000E+00
1.3151201E+11 2.5648950E+02 -1.9700000E-01 0.0000000E+00
1.3151244E+11 2.5648950E+02 -1.9700000E-01 0.0000000E+00
1.3151288E+11 2.5648150E+02 -1.9700000E-01 0.0000000E+00
1.3151331E+11 2.5648950E+02 -1.9700000E-01 0.0000000E+00
1.3151375E+11 2.5648150E+02 -1.9700000E-01 0.0000000E+00
1.3151418E+11 2.5648150E+02 -1.9700000E-01 0.0000000E+00
1.3151461E+11 2.5648150E+02 -1.9700000E-01 0.0000000E+00
1.3151505E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3151548E+11 2.5648150E+02 -1.9700000E-01 0.0000000E+00
1.3151592E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3151635E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3151679E+11 2.5648950E+02 -1.9700000E-01 0.0000000E+00
1.3151722E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3151766E+11 2.5648150E+02 -1.9700000E-01 0.0000000E+00
1.3151809E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3151853E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3151896E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3151940E+11 2.5651950E+02 -1.9700000E-01 0.0000000E+00
1.3151983E+11 2.5652750E+02 -1.9700000E-01 0.0000000E+00
