Time,TR21A,TR21B,flags
1972-12-12T21:40:23.000000Z,257.48749,257.49249,0
1972-12-13T16:51:09.000000Z,256.828,256.912,0
1972-12-13T22:48:23.000000Z,256.73147,256.82847,0
1972-12-15T00:33:57.000000Z,256.51346,256.64646,0
1972-12-15T20:13:36.000000Z,256.43545,256.58445,0
1972-12-16T21:13:29.000000Z,256.38847,256.55147,0
1972-12-17T07:27:04.000000Z,256.37696,256.54296,0
1972-12-18T03:47:20.000000Z,256.33348,256.50648,0
1972-12-19T08:27:18.000000Z,256.30996,256.48996,0
1972-12-20T06:23:37.000000Z,256.30746,256.49246,0
1972-12-21T06:42:37.000000Z,256.24597,256.43397,0
1972-12-22T06:25:30.000000Z,256.23446,256.42546,0
1972-12-23T08:43:09.000000Z,256.20299,256.39699,0
1972-12-24T06:28:45.000000Z,256.19198,256.38798,0
1972-12-25T06:31:50.000000Z,256.18097,256.37897,0
1972-12-26T06:45:22.000000Z,256.20049,256.39949,0
1972-12-27T06:35:54.000000Z,256.16996,256.36996,0
1972-12-28T06:32:42.000000Z,256.16896,256.37096,0
1972-12-29T08:31:14.000000Z,256.16846,256.37146,0
1972-12-30T08:08:43.000000Z,256.16796,256.37196,0
1972-12-31T08:15:05.000000Z,256.17747,256.38247,0
1973-01-02T08:21:40.000000Z,256.15695,256.36295,0
1973-01-03T03:33:15.000000Z,256.17647,256.38347,0
1973-01-05T16:48:52.000000Z,256.17547,256.38447,0
1973-01-08T05:34:26.000000Z,256.1535,256.3465,0
1973-01-10T04:37:32.000000Z,256.13849,256.34149,0
1973-01-10T04:52:01.000000Z,256.1485,256.3515,0
1973-01-12T06:41:57.000000Z,256.13649,256.34349,0
1973-01-13T22:17:30.000000Z,256.1455,256.3545,0
1973-01-16T11:19:40.000000Z,256.18448,256.39548,0
1973-01-18T08:16:49.000000Z,256.14946,256.39046,0
1973-01-19T08:53:58.000000Z,256.15796,256.38196,0
1973-01-20T22:44:55.000000Z,256.14995,256.36995,0
1973-01-22T23:01:45.000000Z,256.11097,256.32897,0
1973-01-25T06:51:15.000000Z,256.14745,256.37245,0
1973-01-25T15:14:15.000000Z,256.12799,256.35199,0
1973-01-27T04:23:13.000000Z,256.1395,256.3605,0
1973-01-27T04:48:33.000000Z,256.11999,256.35999,0
1973-01-28T04:15:56.000000Z,256.137,256.363,0
1973-01-28T15:15:15.000000Z,256.11798,256.34198,0
1973-01-30T04:40:20.000000Z,256.14895,256.37095,0
1973-01-31T04:29:26.000000Z,256.11948,256.34048,0
1973-02-01T04:26:10.000000Z,256.14945,256.37045,0
1973-02-03T02:17:03.000000Z,256.12949,256.35049,0
1973-02-06T02:50:57.000000Z,256.11948,256.34048,0
1973-02-08T06:23:43.000000Z,256.12949,256.35049,0
1973-02-10T01:43:02.000000Z,256.10947,256.33047,0
1973-02-12T15:28:33.000000Z,256.12949,256.35049,0
1973-02-15T01:15:49.000000Z,256.139,256.361,0
1973-02-16T19:42:09.000000Z,256.12899,256.35099,0
1973-02-22T01:34:38.000000Z,256.10847,256.33147,0
1973-02-24T01:58:09.000000Z,256.11848,256.34148,0
1973-02-26T19:20:54.000000Z,256.10797,256.33197,0
1973-02-28T10:57:15.000000Z,256.10797,256.33197,0
1973-03-02T14:19:46.000000Z,256.09796,256.32196,0
1973-03-05T14:53:41.000000Z,256.11798,256.34198,0
1973-03-07T14:11:56.000000Z,256.12749,256.35249,0
1973-03-09T19:53:35.000000Z,256.11748,256.34248,0
1973-03-12T11:25:27.000000Z,256.10747,256.33247,0
1973-03-15T06:02:28.000000Z,256.09696,256.32296,0
1973-03-17T02:46:51.000000Z,256.11698,256.34298,0
1973-03-19T15:13:18.000000Z,256.09696,256.32296,0
1973-03-21T14:19:49.000000Z,256.10697,256.33297,0
1973-03-27T00:51:47.000000Z,256.10647,256.33347,0
1973-03-30T14:24:45.000000Z,256.10647,256.33347,0
1973-04-02T14:15:07.000000Z,256.08595,256.31395,0
1973-04-04T00:10:08.000000Z,256.08595,256.31395,0
1973-04-06T14:26:47.000000Z,256.07594,256.30394,0
1973-04-09T10:29:57.000000Z,256.05598,256.28398,0
1973-04-11T10:33:24.000000Z,256.08595,256.31395,0
1973-04-13T14:27:43.000000Z,256.11598,256.34398,0
1973-04-16T11:53:13.000000Z,256.10547,256.33447,0
1973-04-18T10:32:25.000000Z,256.11548,256.34448,0
1973-04-20T11:20:47.000000Z,256.08545,256.31445,0
1973-04-23T18:41:59.000000Z,256.09546,256.32446,0
1973-04-27T14:02:01.000000Z,256.07544,256.30444,0
1973-04-30T13:45:33.000000Z,256.06549,256.29449,0
1973-05-02T13:56:06.000000Z,256.10547,256.33447,0
1973-05-04T13:47:15.000000Z,256.08545,256.31445,0
1973-05-07T17:45:58.000000Z,256.10547,256.33447,0
1973-05-09T13:17:51.000000Z,256.08545,256.31445,0
1973-05-11T13:13:47.000000Z,256.07544,256.30444,0
1973-05-14T09:00:42.000000Z,256.1355,256.3645,0
1973-05-16T09:00:12.000000Z,256.12549,256.35449,0
1973-05-18T10:36:45.000000Z,256.07544,256.30444,0
1973-05-21T08:28:36.000000Z,256.09546,256.32446,0
1973-05-23T09:26:07.000000Z,256.09596,256.32396,0
1973-05-25T04:32:36.000000Z,256.07594,256.30394,0
1973-05-29T04:56:10.000000Z,256.09596,256.32396,0
1973-05-30T12:43:32.000000Z,256.07594,256.30394,0
1973-06-04T11:25:06.000000Z,256.08645,256.31345,0
1973-06-06T15:30:05.000000Z,256.09646,256.32346,0
1973-06-08T19:08:42.000000Z,256.08645,256.31345,0
1973-06-11T08:54:46.000000Z,256.09646,256.32346,0
1973-06-13T08:56:10.000000Z,256.10697,256.33297,0
1973-06-15T19:14:58.000000Z,256.10697,256.33297,0
1973-06-18T13:12:48.000000Z,256.07694,256.30294,0
1973-06-20T17:01:23.000000Z,256.08745,256.31245,0
1973-06-22T20:11:53.000000Z,256.10747,256.33247,0
1973-06-25T14:11:13.000000Z,256.07744,256.30244,0
1973-06-27T13:09:41.000000Z,256.09796,256.32196,0
1973-06-29T14:25:46.000000Z,256.09796,256.32196,0
1973-07-03T00:32:01.000000Z,256.08845,256.31145,0
1973-07-05T17:09:26.000000Z,256.09846,256.32146,0
1973-07-06T12:55:30.000000Z,256.09846,256.32146,0
1973-07-09T13:59:43.000000Z,256.10897,256.33097,0
1973-07-11T06:26:19.000000Z,256.12899,256.35099,0
1973-07-13T15:59:56.000000Z,256.12949,256.35049,0
1973-07-18T13:16:02.000000Z,256.06999,256.28999,0
1973-07-20T13:21:49.000000Z,256.06048,256.27948,0
1973-07-25T14:33:43.000000Z,256.09095,256.30895,0
1973-07-27T16:15:36.000000Z,256.10096,256.31896,0
1973-07-30T14:44:10.000000Z,256.11147,256.32847,0
1973-08-01T15:34:35.000000Z,256.10196,256.31796,0
1973-08-03T22:30:06.000000Z,256.08194,256.29794,0
1973-08-06T22:46:40.000000Z,256.08244,256.29744,0
1973-08-08T15:37:59.000000Z,256.08244,256.29744,0
1973-08-10T18:22:49.000000Z,256.13299,256.34699,0
1973-08-13T13:46:40.000000Z,256.09345,256.30645,0
1973-08-15T15:07:15.000000Z,256.10396,256.31596,0
1973-08-17T13:49:19.000000Z,256.10396,256.31596,0
1973-08-20T20:44:59.000000Z,256.08444,256.29544,0
1973-08-23T01:48:48.000000Z,256.09445,256.30545,0
1973-08-24T23:40:46.000000Z,256.08494,256.29494,0
1973-08-27T14:18:18.000000Z,256.10546,256.31446,0
1973-08-29T13:04:45.000000Z,256.10546,256.31446,0
1973-08-31T15:35:47.000000Z,256.10596,256.31396,0
1973-09-03T14:00:57.000000Z,256.07649,256.28349,0
1973-09-05T19:53:14.000000Z,256.10646,256.31346,0
1973-09-07T06:48:53.000000Z,256.12698,256.33298,0
1973-09-10T14:25:22.000000Z,256.13749,256.34249,0
1973-09-12T14:26:46.000000Z,256.13749,256.34249,0
1973-09-14T13:34:22.000000Z,256.08794,256.29194,0
1973-09-17T14:11:01.000000Z,256.10796,256.31196,0
1973-09-19T13:49:37.000000Z,256.13849,256.34149,0
1973-09-21T12:14:37.000000Z,256.09845,256.30145,0
1973-09-24T14:01:51.000000Z,256.10896,256.31096,0
1973-09-26T20:33:11.000000Z,256.11947,256.32047,0
1973-09-28T14:16:07.000000Z,256.10946,256.31046,0
1973-10-02T04:22:32.000000Z,256.10996,256.30996,0
1973-10-05T15:52:38.000000Z,256.13048,256.32948,0
1973-10-10T05:59:04.000000Z,256.13098,256.32898,0
1973-10-12T16:03:32.000000Z,256.12147,256.31847,0
1973-10-15T14:28:09.000000Z,256.11146,256.30846,0
1973-10-17T14:01:50.000000Z,256.12197,256.31797,0
1973-10-21T00:19:25.000000Z,256.11196,256.30796,0
1973-10-24T14:20:07.000000Z,256.12247,256.31747,0
1973-10-26T15:33:11.000000Z,256.12297,256.31697,0
1973-10-29T15:05:07.000000Z,256.10295,256.29695,0
1973-11-02T15:36:52.000000Z,256.11346,256.30646,0
1973-11-05T07:22:31.000000Z,256.13348,256.32648,0
1973-11-07T15:25:04.000000Z,256.14399,256.33599,0
1973-11-09T15:59:47.000000Z,256.14399,256.33599,0
1973-11-12T16:52:56.000000Z,256.12447,256.31547,0
1973-11-14T13:59:02.000000Z,256.10445,256.29545,0
1973-11-19T15:08:53.000000Z,256.12497,256.31497,0
1973-11-21T15:51:23.000000Z,256.12497,256.31497,0
1973-11-24T01:32:47.000000Z,256.10495,256.29495,0
1973-11-26T15:26:53.000000Z,256.10495,256.29495,0
1973-11-28T18:17:03.000000Z,256.13548,256.32448,0
1973-12-01T17:39:00.000000Z,256.11546,256.30446,0
1973-12-04T00:21:32.000000Z,256.156,256.344,0
1973-12-05T15:15:59.000000Z,256.18597,256.37397,0
1973-12-07T16:49:16.000000Z,256.18597,256.37397,0
1973-12-10T16:34:02.000000Z,256.16595,256.35395,0
1973-12-12T15:00:16.000000Z,256.12597,256.31397,0
1973-12-14T15:00:59.000000Z,256.12597,256.31397,0
1973-12-17T15:06:05.000000Z,256.13648,256.32348,0
1973-12-19T07:17:00.000000Z,256.13648,256.32348,0
1973-12-21T16:03:22.000000Z,256.13648,256.32348,0
1973-12-26T15:52:15.000000Z,256.14649,256.33349,0
1973-12-28T15:42:27.000000Z,256.12647,256.31347,0
1973-12-31T17:11:07.000000Z,256.12697,256.31297,0
1974-01-02T16:10:06.000000Z,256.17696,256.36296,0
1974-01-04T14:52:19.000000Z,256.14699,256.33299,0
1974-01-07T14:43:21.000000Z,256.157,256.343,0
1974-01-09T14:26:11.000000Z,256.16695,256.35295,0
1974-01-12T00:04:35.000000Z,256.12697,256.31297,0
1974-01-14T13:50:38.000000Z,256.14699,256.33299,0
1974-01-16T15:19:58.000000Z,256.14699,256.33299,0
1974-01-18T15:25:52.000000Z,256.12697,256.31297,0
1974-01-21T14:39:05.000000Z,256.12697,256.31297,0
1974-01-23T14:24:14.000000Z,256.157,256.343,0
1974-01-25T14:37:47.000000Z,256.12747,256.31247,0
1974-01-29T14:40:27.000000Z,256.10745,256.29245,0
1974-01-30T13:52:25.000000Z,256.11746,256.30246,0
1974-02-02T01:47:04.000000Z,256.17746,256.36246,0
1974-02-04T16:01:23.000000Z,256.16745,256.35245,0
1974-02-06T14:49:11.000000Z,256.14749,256.33249,0
1974-02-08T18:08:01.000000Z,256.13748,256.32248,0
1974-02-11T16:15:42.000000Z,256.13748,256.32248,0
1974-02-13T15:12:15.000000Z,256.14749,256.33249,0
1974-02-15T14:51:48.000000Z,256.13748,256.32248,0
1974-02-18T14:08:51.000000Z,256.13748,256.32248,0
1974-02-20T14:55:51.000000Z,256.13748,256.32248,0
1974-02-22T15:12:08.000000Z,256.13748,256.32248,0
1974-02-25T14:32:35.000000Z,256.13748,256.32248,0
1974-02-27T15:37:20.000000Z,256.11796,256.30196,0
1974-03-01T14:27:03.000000Z,256.11796,256.30196,0
1974-03-07T05:02:52.000000Z,256.19798,256.38198,0
1974-03-08T14:48:28.000000Z,256.16795,256.35195,0
1974-03-11T15:30:59.000000Z,256.14799,256.33199,0
1974-03-13T15:20:06.000000Z,256.12847,256.31147,0
