Time,TR22A,TR22B,flags
1971-08-02T13:53:13.000Z,255.05748,254.78248,0
1971-08-03T01:21:53.000Z,253.40799,253.19199,0
1971-08-03T14:59:43.000Z,252.45272,252.42722,0
1971-08-04T02:10:43.000Z,251.94398,252.01598,0
1971-08-05T04:06:02.000Z,251.36099,251.55899,0
1971-08-06T04:38:41.000Z,251.05649,251.30349,0
1971-08-07T04:39:27.000Z,250.88299,251.15699,0
1971-08-08T04:53:56.000Z,250.73947,251.02047,0
1971-08-09T03:20:59.000Z,250.6735,250.9465,0
1971-08-10T03:24:57.000Z,250.65948,250.92048,0
1971-08-11T04:19:39.000Z,250.60398,250.85598,0
1971-08-12T02:46:50.000Z,250.58649,250.83349,0
1971-08-13T01:41:10.000Z,250.55499,250.80499,0
1971-08-14T02:25:21.000Z,250.42599,250.73399,0
1971-08-15T01:48:14.000Z,250.34349,250.75649,0
1971-08-16T02:21:42.000Z,250.23048,250.72948,0
1971-08-17T01:41:27.000Z,250.12597,250.69397,0
1971-08-18T02:10:49.000Z,250.04449,250.67549,0
1971-08-19T01:20:07.000Z,249.9975,250.6825,0
1971-08-20T02:35:46.000Z,249.89048,250.62948,0
1971-08-21T01:33:15.000Z,249.84749,250.63249,0
1971-08-22T02:43:23.000Z,249.78398,250.61598,0
1971-08-23T02:08:55.000Z,249.73348,250.60648,0
1971-08-24T02:27:02.000Z,249.69299,250.60699,0
1971-08-26T01:40:26.000Z,249.63048,250.56948,0
1971-08-28T02:04:22.000Z,249.49499,250.54499,0
1971-08-29T02:01:10.000Z,249.46498,250.55498,0
1971-08-30T01:32:07.000Z,249.52648,250.55348,0
1971-09-01T03:14:24.000Z,249.66599,250.55399,0
1971-09-04T02:22:06.000Z,249.77049,250.52949,0
1971-09-06T02:13:48.000Z,249.84747,250.53247,0
1971-09-07T01:16:16.000Z,249.84548,250.49448,0
1971-09-09T04:16:44.000Z,249.9435,250.5565,0
1971-09-11T02:45:05.000Z,249.98498,250.53498,0
1971-09-12T02:09:16.000Z,249.98498,250.53498,0
1971-09-13T04:47:07.000Z,249.85299,250.50699,0
1971-09-14T06:18:20.000Z,249.78997,250.52997,0
1971-09-16T14:16:26.000Z,249.60248,250.47748,0
1971-09-17T14:17:21.000Z,249.569,250.491,0
1971-09-20T15:27:30.000Z,249.42898,250.47098,0
1971-09-22T14:06:55.000Z,249.35547,250.46447,0
1971-09-24T15:42:48.000Z,249.29297,250.46697,0
1971-09-27T18:00:53.000Z,249.16799,250.43199,0
1971-09-28T18:02:16.000Z,249.26198,250.43798,0
1971-09-29T21:42:39.000Z,249.35749,250.44249,0
1971-10-01T01:40:51.000Z,249.42249,250.43749,0
1971-10-01T12:49:07.000Z,249.45548,250.44448,0
1971-10-03T21:24:46.000Z,249.561,250.439,0
1971-10-04T16:40:47.000Z,249.55798,250.40198,0
1971-10-05T16:39:47.000Z,249.61899,250.42099,0
1971-10-06T16:14:20.000Z,249.709,250.471,0
1971-10-07T16:31:01.000Z,249.68949,250.41049,0
1971-10-08T16:54:02.000Z,249.747,250.433,0
1971-10-09T17:01:05.000Z,249.77148,250.42848,0
1971-10-10T13:40:56.000Z,249.8,250.44,0
1971-10-11T14:30:11.000Z,249.82048,250.45948,0
1971-10-12T13:37:13.000Z,249.70548,250.43448,0
1971-10-13T18:49:42.000Z,249.60699,250.43299,0
1971-10-14T20:10:12.000Z,249.52497,250.41497,0
1971-10-15T15:09:34.000Z,249.51448,250.44548,0
1971-10-16T13:55:19.000Z,249.44249,250.41749,0
1971-10-18T15:14:08.000Z,249.35097,250.40897,0
1971-10-20T13:24:27.000Z,249.31747,250.44247,0
1971-10-22T14:28:44.000Z,249.22548,250.41448,0
1971-10-26T19:35:43.000Z,249.07648,250.38348,0
1971-10-28T23:19:20.000Z,249.224,250.396,0
1971-10-29T22:06:26.000Z,249.2575,250.3625,0
1971-10-30T15:44:10.000Z,249.34997,250.40997,0
1971-10-31T15:01:55.000Z,249.3665,250.3735,0
1971-11-01T15:27:12.000Z,249.44148,250.39848,0
1971-11-02T15:26:07.000Z,249.46448,250.37548,0
1971-11-03T15:57:24.000Z,249.52699,250.39299,0
1971-11-05T15:57:14.000Z,249.63049,250.40949,0
1971-11-06T15:20:27.000Z,249.64949,250.39049,0
1971-11-07T21:17:10.000Z,249.70049,250.39949,0
1971-11-08T15:07:15.000Z,249.73999,250.41999,0
1971-11-09T14:44:28.000Z,249.7285,250.3915,0
1971-11-10T15:36:05.000Z,249.69499,250.40499,0
1971-11-11T14:35:01.000Z,249.6005,250.3995,0
1971-11-12T10:44:29.000Z,249.52999,250.38999,0
1971-11-13T10:37:41.000Z,249.46098,250.37898,0
1971-11-15T15:21:54.000Z,249.34949,250.37049,0
1971-11-17T14:52:31.000Z,249.30198,250.39798,0
1971-11-19T14:25:43.000Z,249.20948,250.37048,0
1971-11-22T15:07:01.000Z,249.10598,250.35398,0
1971-11-24T17:50:24.000Z,249.04748,250.35248,0
1971-11-27T11:35:53.000Z,249.17599,250.36399,0
1971-11-28T14:35:06.000Z,249.23598,250.34398,0
1971-11-29T20:25:31.000Z,249.30248,250.33748,0
1971-11-30T14:35:24.000Z,249.36249,250.35749,0
1971-12-01T15:02:23.000Z,249.40797,250.35197,0
