Time T dT flags
1.3150152E+11 2.5620400E+02 -2.0600000E-01 0.0000000E+00
1.3150195E+11 2.5620400E+02 -2.0600000E-01 0.0000000E+00
1.3150239E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3150282E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3150326E+11 2.5624150E+02 -2.0500000E-01 0.0000000E+00
1.3150369E+11 2.5620400E+02 -2.0600000E-01 0.0000000E+00
1.3150369E+11 2.5620400E+02 -2.0600000E-01 0.0000000E+00
1.3150413E+11 2.5619600E+02 -2.0600000E-01 0.0000000E+00
1.3150456E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3150500E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3150543E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3150587E+11 2.5620400E+02 -2.0600000E-01 0.0000000E+00
1.3150630E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3150674E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3150717E+11 2.5623400E+02 -2.0600000E-01 0.0000000E+00
1.3150761E+11 2.5616650E+02 -2.0500000E-01 0.0000000E+00
1.3150804E+11 2.5622550E+02 -2.0500000E-01 0.0000000E+00
1.3150847E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3150891E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3150934E+11 2.5626350E+02 -2.0500000E-01 0.0000000E+00
1.3150978E+11 2.5620400E+02 -2.0600000E-01 0.0000000E+00
1.3151021E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3151065E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3151108E+11 2.5619600E+02 -2.0600000E-01 0.0000000E+00
1.3151152E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3151195E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3151239E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3151282E+11 2.5623400E+02 -2.0600000E-01 0.0000000E+00
1.3151326E+11 2.5619600E+02 -2.0600000E-01 0.0000000E+00
1.3151369E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3151413E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3151456E+11 2.5623400E+02 -2.0600000E-01 0.0000000E+00
1.3151500E+11 2.5623350E+02 -2.0500000E-01 0.0000000E+00
1.3151543E+11 2.5620400E+02 -2.0600000E-01 0.0000000E+00
1.3151586E+11 2.5619600E+02 -2.0600000E-01 0.0000000E+00
1.3151630E+11 2.5619600E+02 -2.0600000E-01 0.0000000E+00
