Time T dT flags
1.3417949998E+11 2.5103700E+02 1.8400000E-01 0.0000000E+00
1.3417993468E+11 2.5100000E+02 1.8400000E-01 0.0000000E+00
1.3418036937E+11 2.5096400E+02 1.8400000E-01 0.0000000E+00
1.3418080406E+11 2.5103000E+02 1.8300000E-01 0.0000000E+00
1.3418123875E+11 2.5100000E+02 1.8300000E-01 0.0000000E+00
1.3418167344E+11 2.5099300E+02 1.8300000E-01 0.0000000E+00
1.3418210814E+11 2.5100000E+02 1.8200000E-01 0.0000000E+00
1.3418254283E+11 2.5100000E+02 1.8200000E-01 0.0000000E+00
1.3418297752E+11 2.5100000E+02 1.8200000E-01 0.0000000E+00
1.3418341222E+11 2.5100000E+02 1.8100000E-01 0.0000000E+00
1.3418384691E+11 2.5100000E+02 1.8100000E-01 0.0000000E+00
1.3418428160E+11 2.5100000E+02 1.8100000E-01 0.0000000E+00
1.3418471629E+11 2.5103000E+02 1.8100000E-01 0.0000000E+00
1.3418515098E+11 2.5100000E+02 1.8100000E-01 0.0000000E+00
1.3418558568E+11 2.5103000E+02 1.8000000E-01 0.0000000E+00
1.3418602037E+11 2.5100000E+02 1.8000000E-01 0.0000000E+00
1.3418645506E+11 2.5100000E+02 1.7900000E-01 0.0000000E+00
1.3418688976E+11 2.5103000E+02 1.8000000E-01 0.0000000E+00
1.3418732445E+11 2.5103000E+02 1.7900000E-01 0.0000000E+00
1.3418775914E+11 2.5100000E+02 1.7900000E-01 0.0000000E+00
1.3418819383E+11 2.5100000E+02 1.7900000E-01 0.0000000E+00
1.3418862852E+11 2.5103000E+02 1.7800000E-01 0.0000000E+00
1.3418906322E+11 2.5103000E+02 1.7800000E-01 0.0000000E+00
1.3418949791E+11 2.5100000E+02 1.7800000E-01 0.0000000E+00
1.3418993260E+11 2.5100000E+02 1.7700000E-01 0.0000000E+00
1.3419036730E+11 2.5103000E+02 1.7700000E-01 0.0000000E+00
1.3419080199E+11 2.5100000E+02 1.7700000E-01 0.0000000E+00
1.3419123668E+11 2.5103000E+02 1.7600000E-01 0.0000000E+00
1.3419167138E+11 2.5103000E+02 1.7600000E-01 0.0000000E+00
1.3419210607E+11 2.5103000E+02 1.7600000E-01 0.0000000E+00
1.3419254076E+11 2.5106700E+02 1.7600000E-01 0.0000000E+00
1.3419297545E+11 2.5103000E+02 1.7600000E-01 0.0000000E+00
1.3419341015E+11 2.5099300E+02 1.7500000E-01 0.0000000E+00
1.3419384484E+11 2.5100000E+02 1.7500000E-01 0.0000000E+00
1.3419427953E+11 2.5103000E+02 1.7400000E-01 0.0000000E+00
1.3419471423E+11 2.5103000E+02 1.7400000E-01 0.0000000E+00
1.3419514892E+11 2.5103000E+02 1.7400000E-01 0.0000000E+00
1.3419558361E+11 2.5103000E+02 1.7400000E-01 0.0000000E+00
1.3419601830E+11 2.5103000E+02 1.7400000E-01 0.0000000E+00
1.3419688769E+11 2.5103000E+02 1.7300000E-01 0.0000000E+00
1.3419732238E+11 2.5103000E+02 1.7300000E-01 0.0000000E+00
1.3419775708E+11 2.5100000E+02 1.7300000E-01 0.0000000E+00
1.3419819177E+11 2.5103000E+02 1.7200000E-01 0.0000000E+00
1.3419862647E+11 2.5103000E+02 1.7200000E-01 0.0000000E+00
1.3419906116E+11 2.5103000E+02 1.7200000E-01 0.0000000E+00
1.3419949585E+11 2.5103000E+02 1.7100000E-01 0.0000000E+00
1.3419993054E+11 2.5099300E+02 1.7100000E-01 0.0000000E+00
1.3420036524E+11 2.5103000E+02 1.7100000E-01 0.0000000E+00
1.3420079993E+11 2.5099300E+02 1.7100000E-01 0.0000000E+00
1.3420123463E+11 2.5103000E+02 1.7000000E-01 0.0000000E+00
1.3420166932E+11 2.5103000E+02 1.7000000E-01 0.0000000E+00
1.3420210401E+11 2.5103000E+02 1.7000000E-01 0.0000000E+00
1.3420253871E+11 2.5099300E+02 1.7000000E-01 0.0000000E+00
1.3420297340E+11 2.5103000E+02 1.7000000E-01 0.0000000E+00
1.3420340810E+11 2.5096400E+02 1.6900000E-01 0.0000000E+00
1.3420384279E+11 2.5099300E+02 1.6900000E-01 0.0000000E+00
1.3420427749E+11 2.5099300E+02 1.6800000E-01 0.0000000E+00
1.3420471218E+11 2.5099300E+02 1.6800000E-01 0.0000000E+00
1.3420514688E+11 2.5099300E+02 1.6800000E-01 0.0000000E+00
1.3420558157E+11 2.5096400E+02 1.6800000E-01 0.0000000E+00
1.3420601626E+11 2.5103000E+02 1.6800000E-01 0.0000000E+00
1.3420645096E+11 2.5100000E+02 1.6700000E-01 0.0000000E+00
1.3420688565E+11 2.5103000E+02 1.6700000E-01 0.0000000E+00
1.3420732033E+11 2.5103000E+02 1.6700000E-01 0.0000000E+00
1.3420775503E+11 2.5099300E+02 1.6700000E-01 0.0000000E+00
1.3420818972E+11 2.5096400E+02 1.6600000E-01 0.0000000E+00
1.3420862442E+11 2.5099300E+02 1.6600000E-01 0.0000000E+00
1.3420905911E+11 2.5100000E+02 1.6600000E-01 0.0000000E+00
1.3420949380E+11 2.5100000E+02 1.6600000E-01 0.0000000E+00
1.3420992850E+11 2.5103000E+02 1.6500000E-01 0.0000000E+00
1.3421036319E+11 2.5099300E+02 1.6500000E-01 0.0000000E+00
1.3421079788E+11 2.5102300E+02 1.6500000E-01 0.0000000E+00
1.3421123258E+11 2.5099300E+02 1.6500000E-01 0.0000000E+00
1.3421166727E+11 2.5095600E+02 1.6400000E-01 0.0000000E+00
1.3421210197E+11 2.5106700E+02 1.6400000E-01 0.0000000E+00
1.3421253666E+11 2.5099300E+02 1.6400000E-01 0.0000000E+00
1.3421297136E+11 2.5103000E+02 1.6400000E-01 0.0000000E+00
1.3421340605E+11 2.5103000E+02 1.6400000E-01 0.0000000E+00
1.3421384074E+11 2.5099300E+02 1.6300000E-01 0.0000000E+00
1.3421427544E+11 2.5102300E+02 1.6300000E-01 0.0000000E+00
1.3421471013E+11 2.5099300E+02 1.6300000E-01 0.0000000E+00
1.3421514483E+11 2.5106700E+02 1.6300000E-01 0.0000000E+00
1.3421557952E+11 2.5103000E+02 1.6200000E-01 0.0000000E+00
1.3421601421E+11 2.5103000E+02 1.6200000E-01 0.0000000E+00
1.3421644891E+11 2.5103000E+02 1.6200000E-01 0.0000000E+00
1.3421688360E+11 2.5099300E+02 1.6200000E-01 0.0000000E+00
1.3421731830E+11 2.5103000E+02 1.6200000E-01 0.0000000E+00
1.3421775299E+11 2.5103000E+02 1.6100000E-01 0.0000000E+00
1.3421818768E+11 2.5099300E+02 1.6100000E-01 0.0000000E+00
1.3421862238E+11 2.5099300E+02 1.6100000E-01 0.0000000E+00
1.3421905707E+11 2.5103000E+02 1.6100000E-01 0.0000000E+00
1.3421949176E+11 2.5099300E+02 1.6000000E-01 0.0000000E+00
1.3421992646E+11 2.5103000E+02 1.6000000E-01 0.0000000E+00
1.3422036115E+11 2.5099300E+02 1.6000000E-01 0.0000000E+00
1.3422079585E+11 2.5099300E+02 1.6000000E-01 0.0000000E+00
1.3422123054E+11 2.5106700E+02 1.5900000E-01 0.0000000E+00
1.3422166524E+11 2.5103000E+02 1.5900000E-01 0.0000000E+00
1.3422209993E+11 2.5103000E+02 1.5900000E-01 0.0000000E+00
1.3422253462E+11 2.5103000E+02 1.5900000E-01 0.0000000E+00
1.3422296932E+11 2.5103000E+02 1.5900000E-01 0.0000000E+00
1.3422340401E+11 2.5103000E+02 1.5800000E-01 0.0000000E+00
1.3422383871E+11 2.5099300E+02 1.5800000E-01 0.0000000E+00
1.3422427340E+11 2.5099300E+02 1.5800000E-01 0.0000000E+00
1.3422470809E+11 2.5103000E+02 1.5800000E-01 0.0000000E+00
1.3422514279E+11 2.5102300E+02 1.5700000E-01 0.0000000E+00
1.3422557748E+11 2.5103000E+02 1.5700000E-01 0.0000000E+00
1.3422601217E+11 2.5100000E+02 1.5700000E-01 0.0000000E+00
1.3422644687E+11 2.5100000E+02 1.5700000E-01 0.0000000E+00
1.3422688156E+11 2.5100000E+02 1.5700000E-01 0.0000000E+00
1.3422731625E+11 2.5099300E+02 1.5600000E-01 0.0000000E+00
1.3422775095E+11 2.5103000E+02 1.5600000E-01 0.0000000E+00
1.3422818564E+11 2.5103000E+02 1.5600000E-01 0.0000000E+00
1.3422862034E+11 2.5099300E+02 1.5600000E-01 0.0000000E+00
1.3422905503E+11 2.5099300E+02 1.5600000E-01 0.0000000E+00
1.3422948972E+11 2.5102300E+02 1.5500000E-01 0.0000000E+00
1.3422992442E+11 2.5106700E+02 1.5600000E-01 0.0000000E+00
1.3423035911E+11 2.5103000E+02 1.5500000E-01 0.0000000E+00
1.3423079380E+11 2.5100000E+02 1.5500000E-01 0.0000000E+00
1.3423122850E+11 2.5103000E+02 1.5500000E-01 0.0000000E+00
1.3423166319E+11 2.5102300E+02 1.5500000E-01 0.0000000E+00
1.3423209789E+11 2.5106000E+02 1.5400000E-01 0.0000000E+00
1.3423253258E+11 2.5099300E+02 1.5400000E-01 0.0000000E+00
1.3423296728E+11 2.5099300E+02 1.5400000E-01 0.0000000E+00
1.3423340198E+11 2.5103000E+02 1.5400000E-01 0.0000000E+00
