Time T dT flags
1.3421600938E+11 2.8756500E+02 -2.9692000E+01 0.0000000E+00
1.3421644408E+11 2.8759900E+02 -2.9682000E+01 0.0000000E+00
1.3421687877E+11 2.8747000E+02 -2.9675000E+01 0.0000000E+00
1.3421731347E+11 2.8747000E+02 -2.9665000E+01 0.0000000E+00
1.3421774816E+11 2.8737400E+02 -2.9664000E+01 0.0000000E+00
1.3421818285E+11 2.8737400E+02 -2.9669000E+01 0.0000000E+00
1.3421861755E+11 2.8734100E+02 -2.9669000E+01 0.0000000E+00
1.3421905224E+11 2.8732600E+02 -2.9669000E+01 0.0000000E+00
1.3421948693E+11 2.8724500E+02 -2.9657000E+01 0.0000000E+00
1.3421992163E+11 2.8724500E+02 -2.9662000E+01 0.0000000E+00
1.3422035632E+11 2.8719700E+02 -2.9657000E+01 0.0000000E+00
1.3422079102E+11 2.8713100E+02 -2.9656000E+01 0.0000000E+00
1.3422122571E+11 2.8716400E+02 -2.9646000E+01 0.0000000E+00
1.3422166041E+11 2.8703600E+02 -2.9639000E+01 0.0000000E+00
1.3422209510E+11 2.8703600E+02 -2.9628000E+01 0.0000000E+00
1.3422252980E+11 2.8702100E+02 -2.9618000E+01 0.0000000E+00
1.3422296449E+11 2.8692600E+02 -2.9622000E+01 0.0000000E+00
1.3422339918E+11 2.8689300E+02 -2.9616000E+01 0.0000000E+00
1.3422383388E+11 2.8684500E+02 -2.9627000E+01 0.0000000E+00
1.3422426857E+11 2.8684500E+02 -2.9611000E+01 0.0000000E+00
1.3422470326E+11 2.8676400E+02 -2.9615000E+01 0.0000000E+00
1.3422513796E+11 2.8679700E+02 -2.9610000E+01 0.0000000E+00
1.3422557265E+11 2.8673100E+02 -2.9615000E+01 0.0000000E+00
1.3422600734E+11 2.8668400E+02 -2.9604000E+01 0.0000000E+00
1.3422644204E+11 2.8663600E+02 -2.9593000E+01 0.0000000E+00
1.3422687673E+11 2.8660300E+02 -2.9587000E+01 0.0000000E+00
1.3422731143E+11 2.8655500E+02 -2.9587000E+01 0.0000000E+00
1.3422774612E+11 2.8654100E+02 -2.9581000E+01 0.0000000E+00
1.3422818081E+11 2.8650800E+02 -2.9581000E+01 0.0000000E+00
1.3422861551E+11 2.8641300E+02 -2.9575000E+01 0.0000000E+00
1.3422905020E+11 2.8641300E+02 -2.9575000E+01 0.0000000E+00
1.3422948489E+11 2.8639800E+02 -2.9569000E+01 0.0000000E+00
1.3422991959E+11 2.8633200E+02 -2.9574000E+01 0.0000000E+00
1.3423035428E+11 2.8628500E+02 -2.9568000E+01 0.0000000E+00
1.3423078897E+11 2.8625200E+02 -2.9557000E+01 0.0000000E+00
1.3423122367E+11 2.8620400E+02 -2.9551000E+01 0.0000000E+00
1.3423165836E+11 2.8619000E+02 -2.9541000E+01 0.0000000E+00
1.3423209306E+11 2.8615700E+02 -2.9530000E+01 0.0000000E+00
1.3423252775E+11 2.8614200E+02 -2.9535000E+01 0.0000000E+00
1.3423296246E+11 2.8606200E+02 -2.9534000E+01 0.0000000E+00
1.3423339715E+11 2.8601500E+02 -2.9539000E+01 0.0000000E+00
1.3423383184E+11 2.8593400E+02 -2.9528000E+01 0.0000000E+00
1.3423622266E+11 2.8579200E+02 -2.9505000E+01 0.0000000E+00
1.3423665735E+11 2.8580700E+02 -2.9505000E+01 0.0000000E+00
1.3423709204E+11 2.8571200E+02 -2.9494000E+01 0.0000000E+00
